created,tweet_text
Tue Apr 05 05:42:08 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 05:41:43 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 05:41:25 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 05:41:14 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 05:41:02 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 05:41:01 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 05:40:01 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 05:39:49 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 05:39:11 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 05:36:57 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 05:26:59 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 05:15:44 +0000 2022,"RT @goodssalhapssal: N년동안 직업상 온갖 컨벤션에 기업부스를 들어가다보니 기업홍보물, 리플렛 관련은 못 본게 없는데 그 중에도 도쿄전시 다녀온 동료 mc분이 코마츠사에서 받아온 볼펜이 진짜 모든 기업 통틀어서 본 것 제일 취향...…"
Tue Apr 05 05:14:54 +0000 2022,@yeoni_yeon_yeon 하 비트도 리플처럼 200원이 적정가격인데 이제 리플도 천원이네
